Scheme,Beta,Hour,DA_Offer_MW
One-price,10.0,14,0.0
One-price,10.0,15,500.0
One-price,10.0,16,0.0
One-price,10.0,17,231.39857161883995
One-price,10.0,18,0.0
One-price,10.0,19,0.0
One-price,10.0,20,0.0
One-price,10.0,21,0.0
One-price,10.0,22,0.0
One-price,10.0,23,500.0
One-price,10.0,24,0.0
Two-price,0.0,1,71.24816153729844
Two-price,0.0,2,486.2407389589146
Two-price,0.0,3,268.5684732855906
Two-price,0.0,4,162.31735646245411
Two-price,0.0,5,142.02210278896507
Two-price,0.0,6,0.0
Two-price,0.0,7,34.673062913224555
Two-price,0.0,8,0.0
Two-price,0.0,9,48.88420777721268
Two-price,0.0,10,54.27244986323212
Two-price,0.0,11,129.22330964522823
Two-price,0.0,12,135.85208450742945
Two-price,0.0,13,64.018020370854
Two-price,0.0,14,61.79468323459471
Two-price,0.0,15,76.20513807370345
Two-price,0.0,16,87.10361369603166
Two-price,0.0,17,114.85752773157756
Two-price,0.0,18,77.01096892138939
Two-price,0.0,19,134.9380077249797
Two-price,0.0,20,142.69391486027683
Two-price,0.0,21,155.01161496061908
Two-price,0.0,22,223.170471883548
Two-price,0.0,23,302.32230484804336
Two-price,0.0,24,140.02556665887755
Two-price,0.1,1,71.24816153729844
Two-price,0.1,2,486.2407389589146
Two-price,0.1,3,268.5684732855906
Two-price,0.1,4,162.31735646245411
Two-price,0.1,5,142.02210278896507
Two-price,0.1,6,-0.0
Two-price,0.1,7,34.673062913224555
Two-price,0.1,8,-0.0
Two-price,0.1,9,48.88420777721268
Two-price,0.1,10,54.27244986323212
Two-price,0.1,11,129.22330964522823
Two-price,0.1,12,135.85208450742945
Two-price,0.1,13,64.018020370854
Two-price,0.1,14,61.79468323459471
Two-price,0.1,15,76.20513807370345
Two-price,0.1,16,87.10361369603166
Two-price,0.1,17,114.85752773157756
Two-price,0.1,18,68.75335046940936
Two-price,0.1,19,134.9380077249797
Two-price,0.1,20,142.69391486027683
Two-price,0.1,21,148.69211419774297
Two-price,0.1,22,192.58154527085537
Two-price,0.1,23,302.32230484804336
Two-price,0.1,24,140.02556665887755
Two-price,0.25,1,71.24816153729844
Two-price,0.25,2,486.2407389589146
Two-price,0.25,3,268.5684732855906
Two-price,0.25,4,162.31735646245411
Two-price,0.25,5,141.09599868043048
Two-price,0.25,6,-0.0
Two-price,0.25,7,34.673062913224555
Two-price,0.25,8,-0.0
Two-price,0.25,9,48.88420777721268
Two-price,0.25,10,54.27244986323212
Two-price,0.25,11,129.22330964522823
Two-price,0.25,12,135.85208450742945
Two-price,0.25,13,64.018020370854
Two-price,0.25,14,61.79468323459471
Two-price,0.25,15,76.20513807370345
Two-price,0.25,16,87.10361369603166
