Scheme,Avg_In_Sample_Expected_Profit_EUR,Avg_Out_Of_Sample_Expected_Profit_EUR,Avg_Generalization_Gap_EUR,Std_Out_Of_Sample_Expected_Profit_EUR,Avg_Solve_Time_Seconds
One-price,398904.9239350727,396636.87703328696,2268.046901785732,4866.632450293189,0.05387768236687407
Two-price,349107.56530839816,348661.8986580799,445.66665031823504,3852.0625572262375,0.012264557124581188
