Fold,Scheme,Hour,DA_Offer_MW
5,One-price,3,500.0
5,One-price,4,500.0
5,One-price,5,500.0
5,One-price,6,0.0
5,One-price,7,0.0
5,One-price,8,0.0
5,One-price,9,500.0
5,One-price,10,500.0
5,One-price,11,500.0
5,One-price,12,500.0
5,One-price,13,0.0
5,One-price,14,500.0
5,One-price,15,0.0
5,One-price,16,0.0
5,One-price,17,0.0
5,One-price,18,0.0
5,One-price,19,0.0
5,One-price,20,0.0
5,One-price,21,0.0
5,One-price,22,500.0
5,One-price,23,500.0
5,One-price,24,0.0
5,Two-price,1,70.39250319583235
5,Two-price,2,486.2407389589146
5,Two-price,3,268.5684732855906
5,Two-price,4,238.5431128094459
5,Two-price,5,191.72073236106718
5,Two-price,6,0.0
5,Two-price,7,31.875850503773144
5,Two-price,8,0.0
5,Two-price,9,83.1552143613146
5,Two-price,10,87.93349919588735
5,Two-price,11,127.1546095586315
5,Two-price,12,135.85208450742945
5,Two-price,13,73.50070789404957
5,Two-price,14,123.3900564940688
5,Two-price,15,63.212189523168064
5,Two-price,16,79.30131544583578
5,Two-price,17,111.05001993099751
5,Two-price,18,68.75335046940936
5,Two-price,19,106.22018941320395
5,Two-price,20,123.20449203447376
5,Two-price,21,93.72895217935148
5,Two-price,22,223.170471883548
5,Two-price,23,325.4422619620349
5,Two-price,24,140.02556665887755
6,One-price,1,0.0
6,One-price,2,500.0
6,One-price,3,500.0
6,One-price,4,0.0
6,One-price,5,0.0
6,One-price,6,0.0
6,One-price,7,0.0
6,One-price,8,0.0
6,One-price,9,0.0
6,One-price,10,0.0
6,One-price,11,500.0
6,One-price,12,500.0
6,One-price,13,500.0
6,One-price,14,0.0
6,One-price,15,0.0
6,One-price,16,500.0
6,One-price,17,500.0
6,One-price,18,0.0
6,One-price,19,0.0
6,One-price,20,0.0
6,One-price,21,0.0
6,One-price,22,0.0
6,One-price,23,500.0
6,One-price,24,0.0
6,Two-price,1,73.0728787233165
6,Two-price,2,500.0
6,Two-price,3,268.54441863342083
6,Two-price,4,140.80218828607167
6,Two-price,5,142.02210278896507
6,Two-price,6,0.0
6,Two-price,7,40.798408269302136
6,Two-price,8,0.0
6,Two-price,9,34.75209962749653
6,Two-price,10,52.87040727962502
6,Two-price,11,96.04163516652692
6,Two-price,12,123.8711495374634
6,Two-price,13,64.018020370854
6,Two-price,14,56.83083394042693
6,Two-price,15,63.212189523168064
6,Two-price,16,87.10361369603166
6,Two-price,17,103.16696677708896
6,Two-price,18,63.61940042061277
6,Two-price,19,106.82499209632856
6,Two-price,20,85.27717832057292
6,Two-price,21,86.6843754725021
6,Two-price,22,162.10258278236725
6,Two-price,23,238.45548514797048
6,Two-price,24,82.88545861912552
7,One-price,1,0.0
7,One-price,2,500.0
7,One-price,3,500.0
7,One-price,4,0.0
7,One-price,5,500.0
7,One-price,6,0.0
7,One-price,7,0.0
7,One-price,8,0.0
7,One-price,9,0.0
7,One-price,10,500.0
7,One-price,11,500.0
7,One-price,12,500.0
7,One-price,13,0.0
7,One-price,14,0.0
7,One-price,15,500.0
7,One-price,16,500.0
7,One-price,17,0.0
7,One-price,18,0.0
7,One-price,19,0.0
7,One-price,20,0.0
7,One-price,21,0.0
7,One-price,22,0.0
7,One-price,23,500.0
7,One-price,24,0.0
7,Two-price,1,71.24816153729844
7,Two-price,2,486.2407389589146
7,Two-price,3,236.2269934433891
7,Two-price,4,157.8053909911891
7,Two-price,5,163.94104548391087
7,Two-price,6,0.0
7,Two-price,7,40.798408269302136
7,Two-price,8,0.0
7,Two-price,9,49.78110266525546
7,Two-price,10,76.4937938997402
7,Two-price,11,127.1546095586315
7,Two-price,12,106.0603977952193
7,Two-price,13,63.26373520638891
7,Two-price,14,60.38061332490274
7,Two-price,15,63.212189523168064
7,Two-price,16,87.10361369603166
7,Two-price,17,103.16696677708896
7,Two-price,18,63.61940042061277
7,Two-price,19,106.82499209632856
7,Two-price,20,85.27717832057292
7,Two-price,21,86.6843754725021
7,Two-price,22,192.58154527085537
7,Two-price,23,282.3019614850655
7,Two-price,24,133.39507360723562
8,One-price,1,0.0
8,One-price,2,500.0
8,One-price,3,500.0
8,One-price,4,500.0
8,One-price,5,500.0
8,One-price,6,0.0
8,One-price,7,0.0
8,One-price,8,0.0
8,One-price,9,0.0
8,One-price,10,500.0
8,One-price,11,500.0
8,One-price,12,500.0
8,One-price,13,500.0
8,One-price,14,500.0
8,One-price,15,0.0
8,One-price,16,0.0
8,One-price,17,500.0
8,One-price,18,0.0
8,One-price,19,0.0
8,One-price,20,0.0
8,One-price,21,0.0
8,One-price,22,0.0
8,One-price,23,500.0
8,One-price,24,0.0
8,Two-price,1,71.24816153729844
8,Two-price,2,486.2407389589146
8,Two-price,3,268.5684732855906
8,Two-price,4,238.5431128094459
8,Two-price,5,173.9168533765859
8,Two-price,6,0.0
8,Two-price,7,34.673062913224555
8,Two-price,8,0.0
8,Two-price,9,69.9990378139132
8,Two-price,10,82.6500666657503
8,Two-price,11,127.1546095586315
8,Two-price,12,249.7542989099806
8,Two-price,13,118.72689035202265
8,Two-price,14,137.59948316861622
8,Two-price,15,80.62775769405232
8,Two-price,16,87.10361369603166
8,Two-price,17,120.33511566851315
8,Two-price,18,68.75335046940936
8,Two-price,19,106.82499209632856
8,Two-price,20,142.69391486027683
8,Two-price,21,148.69211419774297
8,Two-price,22,223.170471883548
8,Two-price,23,339.96955368311086
8,Two-price,24,171.51138815961292
